zpid,sale_price,bedrooms,bathrooms,living_area,year_built,zipcode,lat,lon
456835674,190000.0,3.0,2.0,1190.0,2025.0,46201.0,39.770428,-86.12865
444226734,200000.0,4.0,2.0,1763.0,1955.0,46201.0,39.765934,-86.08554
1096351,220000.0,3.0,2.0,2156.0,1921.0,46201.0,39.780373,-86.09027
1107054,218500.0,3.0,1.0,2480.0,1920.0,46201.0,39.7841,-86.12369
1090268,175000.0,3.0,3.0,1970.0,1920.0,46201.0,39.762955,-86.12982
1097252,199000.0,3.0,1.0,1890.0,1910.0,46201.0,39.784134,-86.10504
112836099,415000.0,3.0,4.0,1950.0,2025.0,46201.0,39.76376,-86.13325
1080801,179000.0,2.0,1.0,1224.0,1929.0,46201.0,39.782253,-86.09992
1102145,319900.0,5.0,2.0,2986.0,1890.0,46201.0,39.768227,-86.12856
447432800,575000.0,4.0,4.0,2250.0,2025.0,46201.0,39.788776,-86.12324
1078356,315000.0,3.0,2.0,1690.0,2025.0,46201.0,39.773415,-86.119705
1106984,175000.0,2.0,1.0,1482.0,1922.0,46201.0,39.767803,-86.11148
1119468,535000.0,5.0,3.0,4200.0,1910.0,46201.0,39.77678,-86.129616
1073642,220000.0,3.0,2.0,1380.0,2025.0,46201.0,39.78552,-86.10464
1089293,205000.0,3.0,2.0,1560.0,1920.0,46201.0,39.779636,-86.10575
1082008,79900.0,2.0,1.0,2355.0,1901.0,46201.0,39.774357,-86.10129
1095402,258900.0,3.0,3.0,2430.0,1916.0,46201.0,39.784233,-86.10729
1102762,340000.0,4.0,3.0,2498.0,1921.0,46201.0,39.784824,-86.10865
2108971634,165000.0,3.0,2.0,2370.0,1911.0,46201.0,39.768093,-86.12715
1109326,165000.0,3.0,2.0,2370.0,1911.0,46201.0,39.768135,-86.12715
1091627,129000.0,3.0,1.0,1470.0,1930.0,46201.0,39.77375,-86.11625
1083994,199999.0,4.0,2.0,2760.0,1920.0,46201.0,39.770218,-86.12626
1096536,329900.0,3.0,4.0,1932.0,1920.0,46201.0,39.768818,-86.13042
1102281,209900.0,3.0,2.0,1284.0,1912.0,46201.0,39.780643,-86.10708
1082213,183000.0,2.0,1.0,1742.0,1924.0,46201.0,39.779736,-86.08862
1079819,194000.0,4.0,2.0,1596.0,1920.0,46201.0,39.776314,-86.09726
1102738,330000.0,4.0,2.0,3155.0,1898.0,46201.0,39.77002,-86.13372
1104737,298000.0,3.0,3.0,1540.0,1896.0,46201.0,39.776295,-86.11831
1091104,500000.0,6.0,4.0,2877.0,1955.0,46201.0,39.786774,-86.12861
1085921,150000.0,2.0,2.0,1224.0,1918.0,46201.0,39.784115,-86.10035
1084764,169900.0,2.0,1.0,1560.0,1925.0,46201.0,39.76003,-86.0871
167206106,304999.0,4.0,3.0,2800.0,1960.0,46201.0,39.782337,-86.12027
339898844,439900.0,5.0,3.0,3260.0,1955.0,46201.0,39.776356,-86.10931
1104473,197990.0,4.0,2.0,2574.0,1920.0,46201.0,39.770977,-86.09837
1081732,215000.0,3.0,2.0,2464.0,1925.0,46201.0,39.7804,-86.108055
1100309,299899.0,2.0,2.0,3150.0,2016.0,46201.0,39.769238,-86.1315
1074962,215000.0,3.0,2.0,2140.0,1940.0,46201.0,39.785686,-86.09721
1096906,210000.0,3.0,2.0,1344.0,1933.0,46201.0,39.77362,-86.11789
1089068,385000.0,3.0,3.0,2736.0,1910.0,46201.0,39.78771,-86.110886
1072421,224500.0,4.0,2.0,1872.0,1922.0,46201.0,39.78318,-86.095535
1106492,150000.0,2.0,2.0,1708.0,1920.0,46201.0,39.788906,-86.11575
1104551,150000.0,2.0,1.0,1792.0,1955.0,46201.0,39.783806,-86.12408
1074370,155000.0,3.0,1.0,2359.0,1913.0,46201.0,39.77097,-86.091125
1105617,150000.0,2.0,1.0,780.0,1951.0,46201.0,39.782036,-86.124115
1076763,140000.0,3.0,2.0,912.0,1940.0,46201.0,39.764957,-86.11144
1081322,240000.0,3.0,3.0,1584.0,2025.0,46201.0,39.7682,-86.10059
1071991,145000.0,2.0,1.0,1700.0,1953.0,46201.0,39.765778,-86.096985
1085402,415000.0,3.0,3.0,2322.0,2019.0,46201.0,39.775383,-86.12277
1071104,249000.0,3.0,2.0,1331.0,1910.0,46201.0,39.779125,-86.12524
1104111,175000.0,4.0,2.0,2017.0,1920.0,46201.0,39.77849,-86.08907
1090639,70000.0,2.0,1.0,1546.0,1920.0,46201.0,39.779747,-86.11527
1084061,189900.0,2.0,1.0,1377.0,1920.0,46201.0,39.776577,-86.09179
1072806,290000.0,2.0,2.0,2028.0,1927.0,46201.0,39.785072,-86.11985
1113266,199000.0,3.0,1.0,2166.0,1941.0,46201.0,39.785347,-86.09253
1084811,450000.0,4.0,3.0,1800.0,2025.0,46201.0,39.760277,-86.13439
1086385,247900.0,2.0,2.0,3105.0,1890.0,46201.0,39.784702,-86.110016
1103511,524900.0,3.0,4.0,2870.0,1910.0,46201.0,39.784122,-86.12824
1087958,205000.0,3.0,2.0,1762.0,1945.0,46201.0,39.776844,-86.09255
1077704,249900.0,3.0,3.0,2582.0,1901.0,46201.0,39.770325,-86.10195
1072005,199900.0,3.0,1.0,1026.0,1953.0,46201.0,39.764217,-86.097626
1078025,260000.0,3.0,2.0,2258.0,1920.0,46201.0,39.78453,-86.112686
1081220,204500.0,2.0,1.0,2184.0,1945.0,46201.0,39.78066,-86.090294
1081058,275000.0,3.0,3.0,2658.0,1880.0,46201.0,39.775314,-86.119995
1070997,299000.0,3.0,2.0,2264.0,1921.0,46201.0,39.786358,-86.11133
1084315,265000.0,3.0,3.0,2376.0,1890.0,46201.0,39.76373,-86.13483
1109749,385000.0,4.0,2.0,1723.0,1910.0,46201.0,39.777027,-86.111626
1114478,239000.0,3.0,2.0,2140.0,1910.0,46201.0,39.76348,-86.11477
167208213,187000.0,2.0,1.0,2107.0,1927.0,46201.0,39.78389,-86.0972
1110053,240000.0,3.0,3.0,2828.0,1890.0,46201.0,39.773865,-86.12215
1094447,179900.0,2.0,2.0,1996.0,1925.0,46201.0,39.773636,-86.09405
1115517,234999.0,3.0,2.0,1799.0,1921.0,46201.0,39.774143,-86.111626
1094163,200000.0,2.0,1.0,1052.0,1900.0,46201.0,39.773792,-86.12862
1091085,199900.0,4.0,2.0,2436.0,1920.0,46201.0,39.77499,-86.087166
1106951,149900.0,3.0,2.0,1812.0,1923.0,46201.0,39.76154,-86.12976
1080713,119800.0,2.0,1.0,1344.0,1925.0,46201.0,39.78007,-86.10445
1106612,214900.0,3.0,2.0,2240.0,1915.0,46201.0,39.770412,-86.09114
1082964,155900.0,2.0,1.0,1170.0,1928.0,46201.0,39.783302,-86.097176
1105905,209000.0,2.0,3.0,2016.0,1953.0,46201.0,39.771187,-86.134476
1070627,145000.0,2.0,2.0,1650.0,1900.0,46201.0,39.760544,-86.11741
1102643,144500.0,3.0,1.0,1848.0,1924.0,46201.0,39.783543,-86.117546
1070685,219000.0,2.0,1.0,2095.0,1922.0,46201.0,39.778187,-86.11209
1079548,230000.0,5.0,2.0,1954.0,1930.0,46201.0,39.776577,-86.09771
1102307,89000.0,3.0,2.0,1908.0,1920.0,46201.0,39.776455,-86.114746
1095510,178000.0,4.0,2.0,2327.0,1915.0,46201.0,39.774677,-86.08554
1085499,204700.0,2.0,2.0,2278.0,1909.0,46201.0,39.77919,-86.11687
402649783,109900.0,2.0,1.0,1428.0,1920.0,46201.0,39.778187,-86.1099
1089665,109900.0,2.0,1.0,1428.0,1920.0,46201.0,39.778145,-86.10995
1093348,160000.0,3.0,1.0,1817.0,1899.0,46201.0,39.78086,-86.11528
1075232,216500.0,3.0,1.0,1547.0,1917.0,46201.0,39.77587,-86.09726
1103709,360000.0,4.0,3.0,2064.0,1920.0,46201.0,39.769844,-86.11151
303787940,675000.0,4.0,4.0,3083.0,2020.0,46201.0,39.771923,-86.135025
1070175,254900.0,3.0,1.0,2114.0,1925.0,46201.0,39.78575,-86.09249
1104322,385000.0,3.0,3.0,1680.0,2023.0,46201.0,39.77358,-86.122185
1076641,218000.0,3.0,2.0,1104.0,1970.0,46201.0,39.78574,-86.08718
1089020,194900.0,3.0,2.0,2531.0,1911.0,46201.0,39.777637,-86.11205
1105224,249999.0,3.0,1.0,1848.0,1926.0,46201.0,39.784687,-86.12023
1095386,175000.0,2.0,1.0,1380.0,1945.0,46201.0,39.786606,-86.095535
1081331,190000.0,3.0,3.0,1920.0,1911.0,46201.0,39.772312,-86.10935
1101016,159900.0,3.0,1.0,1944.0,1900.0,46201.0,39.77331,-86.11784
453167340,159900.0,3.0,1.0,1944.0,1900.0,46201.0,39.77331,-86.11784
1081464,98750.0,2.0,1.0,1818.0,1924.0,46201.0,39.763985,-86.08489
1073572,212500.0,3.0,3.0,2288.0,1917.0,46201.0,39.77667,-86.09415
1098385,174900.0,3.0,2.0,2162.0,1920.0,46201.0,39.781937,-86.12411
1082081,239900.0,3.0,2.0,1918.0,1916.0,46201.0,39.779793,-86.114075
1097697,170000.0,2.0,1.0,2258.0,1913.0,46201.0,39.77795,-86.11331
1096078,850000.0,6.0,6.0,5663.0,1900.0,46201.0,39.78233,-86.11985
1077539,110000.0,4.0,2.0,2815.0,1919.0,46201.0,39.772453,-86.08818
1080866,325000.0,3.0,3.0,2651.0,1890.0,46201.0,39.781178,-86.12651
1099892,249900.0,4.0,2.0,2340.0,1900.0,46201.0,39.782936,-86.12095
1081650,159900.0,2.0,1.0,1620.0,1926.0,46201.0,39.78164,-86.09992
1110549,134900.0,2.0,1.0,1712.0,1919.0,46201.0,39.788136,-86.09675
1091187,240000.0,2.0,1.0,1509.0,1923.0,46201.0,39.78618,-86.112686
1107710,148000.0,2.0,1.0,1920.0,1924.0,46201.0,39.781628,-86.098785
112837802,399900.0,3.0,3.0,2196.0,2025.0,46201.0,39.768658,-86.12915
112837606,424900.0,3.0,3.0,2296.0,2025.0,46201.0,39.768738,-86.129105
1095709,355000.0,3.0,3.0,2130.0,2015.0,46201.0,39.78256,-86.12227
452054756,599000.0,4.0,4.0,3620.0,2025.0,46201.0,39.76403,-86.12869
1072605,279000.0,4.0,2.0,2684.0,1923.0,46201.0,39.77359,-86.091194
1070818,139900.0,3.0,1.0,1520.0,1919.0,46201.0,39.776207,-86.09726
1100477,325000.0,4.0,3.0,2920.0,1910.0,46201.0,39.772472,-86.122765
1110225,299900.0,3.0,4.0,1960.0,1930.0,46201.0,39.763275,-86.13035
1089725,219900.0,3.0,2.0,2016.0,1916.0,46201.0,39.76218,-86.12733
1103077,250000.0,4.0,2.0,2300.0,1910.0,46201.0,39.759495,-86.131065
1082204,295000.0,3.0,2.0,2103.0,1900.0,46201.0,39.777393,-86.12112
1075611,500000.0,3.0,1.0,1932.0,1921.0,46201.0,39.7755,-86.11634
1105630,205000.0,2.0,1.0,2424.0,1930.0,46201.0,39.76438,-86.12768
1084998,166000.0,3.0,1.0,1290.0,1965.0,46201.0,39.785286,-86.085304
