zpid,sale_price,bedrooms,bathrooms,living_area,year_built,zipcode,lat,lon,distance_to_downtown_km,house_age,zipcode_46032.0,zipcode_46033.0,zipcode_46037.0,zipcode_46038.0,zipcode_46055.0,zipcode_46060.0,zipcode_46062.0,zipcode_46074.0,zipcode_46075.0,zipcode_46077.0,zipcode_46107.0,zipcode_46112.0,zipcode_46123.0,zipcode_46142.0,zipcode_46143.0,zipcode_46168.0,zipcode_46201.0,zipcode_46202.0,zipcode_46203.0,zipcode_46204.0,zipcode_46205.0,zipcode_46208.0,zipcode_46214.0,zipcode_46216.0,zipcode_46217.0,zipcode_46218.0,zipcode_46219.0,zipcode_46220.0,zipcode_46221.0,zipcode_46222.0,zipcode_46224.0,zipcode_46225.0,zipcode_46226.0,zipcode_46227.0,zipcode_46228.0,zipcode_46229.0,zipcode_46231.0,zipcode_46234.0,zipcode_46235.0,zipcode_46236.0,zipcode_46237.0,zipcode_46239.0,zipcode_46240.0,zipcode_46241.0,zipcode_46250.0,zipcode_46254.0,zipcode_46256.0,zipcode_46259.0,zipcode_46260.0,zipcode_46268.0,zipcode_46278.0,zipcode_46280.0,zipcode_46290.0,log_sale_price,log_living_area,log_house_age
1077522,78000.0,2.0,1.0,1816.0,1918.0,46201.0,39.761307,-86.11661,3.632916786464431,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.264476926102367,7.504942068396171,4.6913478822291435
1085356,245000.0,2.0,2.0,2206.0,1910.0,46201.0,39.780403,-86.12351,3.243433209795649,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.409017571151187,7.699389406256737,4.762173934797756
1104044,95200.0,3.0,1.0,2066.0,1920.0,46201.0,39.777847,-86.096085,5.403061779679551,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46374572492597,7.633853559681768,4.672828834461906
1108751,149000.0,2.0,2.0,1260.0,1955.0,46201.0,39.76008,-86.11561,3.7477560607306377,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.91170829631447,7.13966033596492,4.276666119016055
1082586,150000.0,2.0,1.0,1824.0,1925.0,46201.0,39.76366,-86.091415,5.723978852575904,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.918397239722838,7.509335266016592,4.624972813284271
1102839,164900.0,2.0,1.0,1224.0,1917.0,46201.0,39.78389,-86.10035,5.227176630255401,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.013100572810686,7.110696122978827,4.700480365792417
1092164,540000.0,5.0,3.0,2652.0,2025.0,46201.0,39.770576,-86.11794,3.440877375604182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.199326270390594,7.88344635413774,0.6931471805599453
1093184,192000.0,2.0,1.0,2112.0,1930.0,46201.0,39.759834,-86.097824,5.239326102450897,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.165255859329688,7.655864017616056,4.574710978503383
1086178,315000.0,3.0,3.0,2159.0,2018.0,46201.0,39.778084,-86.116455,3.718414103293657,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.660331092405906,7.67786350067821,2.1972245773362196
1099744,399000.0,4.0,3.0,1892.0,2025.0,46201.0,39.764378,-86.12726,2.6735949600683604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.896719202134523,7.545918151209323,0.6931471805599453
